ISBN|DNBID|DNBURI|OCLC|GND|DDC|TOC|AUTHORID|SACHGRUPPEN
9783899719000|['1014071143']|['http://d-nb.info/1014071143']|[]|['4305296-4', '4027743-4', '4137178-1']|['297.72']|['1014071143/04']|[]|['290 Andere Religionen ; 320 Politik ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

9783862349975|['1052129633']|['http://d-nb.info/1052129633']|['(OColc)882503583']|['118619322', '4200793-8']|['833.914']|[]|[]|['830 Deutsche Literatur']

9783899716726|['1007198273']|['http://d-nb.info/1007198273']|['(OColc)700050839']|['4043271-3', '4162078-1', '4041158-8', '118566512', '4043271-3', '4068878-1', '4003846-4', '118566512', '4049012-9', '4162078-1', '4112701-8', '119033577', '119021676', '4043271-3', '4162078-1']|['327.117']|['1007198273/04']|['139759042']|['320 Politik']

9783862349876|['1052127223']|['http://d-nb.info/1052127223']|['(OColc)843417186']|['4072725-7', '4059740-4', '7671722-7', '4071045-2', '4022349-8']|['231.8083']|[]|['102798083X']|['230 Theologie, Christentum ; 220 Bibel ; 370 Erziehung, Schul- und Bildungswesen']

9783899712353|['974661864']|['http://d-nb.info/974661864']|['(OColc)181451206']|[]|[]|[]|[]|['830 Deutsche Literatur ; B Belletristik']

9783899716924|['1000099997']|['http://d-nb.info/1000099997']|['(OColc)551636888']|['4001515-4', '4015950-4', '4118576-6', '4001515-4', '4059758-1', '4054582-9', '4048098-7']|['221.6']|['1000099997/04']|[]|['220 Bibel ; 290 Andere Religionen']

9783899717297|['994959672']|['http://d-nb.info/994959672']|['(OColc)501317227']|['4123514-9', '4379691-6', '4177707-4']|['220.9505']|['994959672/04']|['114719705']|['220 Bibel ; 230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

9783862340774|['1052114040']|['http://d-nb.info/1052114040']|['(OColc)882502225']|['1023791102', '4049422-6', '4053505-8', '1023791102', '7671722-7', '4022350-4']|['372.84044', '232.50834']|[]|['130480703']|['370 Erziehung, Schul- und Bildungswesen ; 230 Theologie, Christentum']

9783899717334|['995646929']|['http://d-nb.info/995646929']|['(OColc)670206953']|['118544489', '300064128']|['782.48']|['995646929/04']|[]|['780 Musik']

9783899711530|['970424604']|['http://d-nb.info/970424604']|['(OColc)231994893']|['4757296-6', '4249464-3', '4035093-9']|[]|['970424604/04']|[]|['610 Medizin, Gesundheit ; 370 Erziehung, Schul- und Bildungswesen']

9783862341023|['1052091407']|['http://d-nb.info/1052091407']|['(OColc)852514973']|['118544489', '300064837']|['782.23']|[]|[]|['780 Musik']

9783862348084|['1052119395']|['http://d-nb.info/1052119395']|['(OColc)882502739']|['4011882-4', '4046496-9', '4131753-1', '4026923-1']|['342.430662', '342.4380662', '342.240662']|[]|[]|['340 Recht']

9783899715873|['993078206']|['http://d-nb.info/993078206']|[]|['4064689-0', '4048561-4', '4033597-5', '4064689-0', '4048561-4', '4618915-4', '4064689-0', '4125698-0', '4189169-7', '4035964-5', '4189169-7', '4114333-4']|[]|[]|[]|['340 Recht ; 360 Soziale Probleme, Sozialdienste, Versicherungen']

9783899712285|['97440019X']|['http://d-nb.info/97440019X']|['(OColc)181448198']|['4009937-4', '4048770-2', '4032386-9', '4011882-4', '4115712-6', '4078704-7']|[]|['97440019X/04']|['123007852']|['340 Recht']

9783899716894|['994327471']|['http://d-nb.info/994327471']|['(OColc)423909093']|['118531905', '4050479-7', '4124854-5', '4140220-0', '4039827-4']|['833.912']|['994327471/04']|[]|['830 Deutsche Literatur']

9783899716498|['1052128432']|['http://d-nb.info/1052128432']|['(OColc)839889917']|['4056218-9', '4069468-9', '4153261-2']|['268.84']|[]|['123938422']|['230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

9783899713008|['97870410X']|['http://d-nb.info/97870410X']|['(OColc)181548205']|['4018145-5', '4141868-2', '4061672-1']|[]|['97870410X/04']|['131752928']|['940 Geschichte Europas ; 960 Geschichte Afrikas']

9783862346592|['1052090850']|['http://d-nb.info/1052090850']|['(OColc)882501112']|['118594001', '118641549', '4059758-1']|['227.06', '296.3092']|[]|['120571587']|['220 Bibel ; 290 Andere Religionen']

9783899712070|['972819975']|['http://d-nb.info/972819975']|['(OColc)615478698']|['4062501-1', '4332379-0', '4059555-9', '4135952-5']|[]|['972819975/04']|['1060757443']|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899718430|['1010740644']|['http://d-nb.info/1010740644']|['(OColc)725046646']|['7842434-3']|['289.94']|['1010740644/04']|['122934466']|['230 Theologie, Christentum']

9783862346479|['105211282X']|['http://d-nb.info/105211282X']|['(OColc)858051790']|['4011882-4', '4063206-4', '4117359-4']|['346.43086']|[]|['105317462']|['340 Recht']

9783899713886|['983817499']|['http://d-nb.info/983817499']|['(OColc)239073170']|['4117405-7']|['378.1796']|['983817499/04']|[]|['370 Erziehung, Schul- und Bildungswesen']

9783899717839|['998797545']|['http://d-nb.info/998797545']|['(OColc)643553382']|['4011882-4', '4333485-4', '4416719-2', '4000911-7', '4214151-5', '4013943-8']|['303.4820899435043']|['998797545/04']|['11190594X']|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899716283|['993128343']|['http://d-nb.info/993128343']|[]|[]|[]|[]|[]|['340 Recht']

9783899714012|['985012196']|['http://d-nb.info/985012196']|['(OColc)723748119']|['1059654644', '4300436-2', '4077530-6', '4071045-2', '4185072-5', '4049716-1', '4028859-6', '4153261-2']|['232.4']|['985012196/04']|['133666719']|['230 Theologie, Christentum']

9783899711738|['971058660']|['http://d-nb.info/971058660']|['(OColc)76510995']|['4018935-1']|[]|['971058660/04']|['106409999']|['510 Mathematik']

9783862348701|['1052113729']|['http://d-nb.info/1052113729']|['(OColc)882502178']|['118504134', '4075166-1', '4069996-1', '118504134', '4246767-6', '4117192-5']|['248.4092']|[]|['1014547202']|['230 Theologie, Christentum']

9783862347971|['1052113249']|['http://d-nb.info/1052113249']|['(OColc)882502089']|['118583573', '118569775', '118675516', '11853453', '4018480-8', '4040227-7']|['177.620922']|[]|['143740520']|['100 Philosophie']

